CustomerID,recency,frequency,monetary,r_quartile,f_quartile,m_quartile,RFM_Score
12357.0,0,131,6207.67,1,1,1,111
12378.0,0,219,4008.62,1,1,1,111
12688.0,0,171,4873.8099999999995,1,1,1,111
16800.0,0,164,1201.4899999999998,1,1,2,112
16222.0,0,137,846.72,1,1,2,112
15004.0,0,158,1246.3200000000002,1,1,2,112
12965.0,0,109,771.91,1,1,2,112
15464.0,0,157,1048.85,1,1,2,112
12743.0,0,134,546.4300000000001,1,1,3,113
16340.0,0,153,549.07,1,1,3,113
14670.0,0,132,411.53000000000003,1,1,3,113
15006.0,0,144,502.09000000000003,1,1,3,113
15872.0,0,128,360.93,1,1,3,113
15720.0,0,128,598.73,1,1,3,113
15060.0,0,121,303.09000000000003,1,1,3,113
14382.0,0,131,626.07,1,1,3,113
14093.0,0,105,442.84999999999997,1,1,3,113
15880.0,0,106,313.28,1,1,3,113
12405.0,0,54,1710.3900000000003,1,2,1,121
12752.0,0,53,4366.780000000001,1,2,1,121
12764.0,0,45,1693.88,1,2,1,121
16902.0,0,44,1706.88,1,2,1,121
12398.0,0,85,1635.6599999999999,1,2,1,121
12349.0,0,73,1757.5500000000002,1,2,1,121
16494.0,0,50,826.5299999999999,1,2,2,122
16108.0,0,49,816.1,1,2,2,122
15832.0,0,54,836.7900000000001,1,2,2,122
12446.0,0,58,1002.3100000000001,1,2,2,122
13354.0,0,51,743.5300000000001,1,2,2,122
13339.0,0,54,860.12,1,2,2,122
13979.0,0,54,869.8699999999998,1,2,2,122
13336.0,0,51,795.1200000000001,1,2,2,122
14154.0,0,52,1345.62,1,2,2,122
14725.0,0,52,718.08,1,2,2,122
12772.0,0,55,892.4700000000001,1,2,2,122
12534.0,0,63,1089.18,1,2,2,122
14923.0,0,44,749.1,1,2,2,122
14920.0,0,57,977.77,1,2,2,122
12514.0,0,51,1017.6800000000001,1,2,2,122
12847.0,0,91,871.5399999999998,1,2,2,122
12453.0,0,43,707.0899999999999,1,2,2,122
12354.0,0,58,1079.3999999999999,1,2,2,122
15255.0,0,47,890.85,1,2,2,122
15480.0,0,45,905.5,1,2,2,122
13583.0,0,53,781.03,1,2,2,122
15978.0,0,49,1098.78,1,2,2,122
16056.0,0,68,664.85,1,2,2,122
13635.0,0,62,1071.03,1,2,2,122
16934.0,0,62,950.9300000000001,1,2,2,122
13607.0,0,98,678.0100000000001,1,2,2,122
12611.0,0,65,1193.32,1,2,2,122
15576.0,0,45,940.6700000000001,1,2,2,122
16268.0,0,45,667.6500000000001,1,2,2,122
15076.0,0,49,880.8499999999999,1,2,2,122
16270.0,0,54,1141.2399999999996,1,2,2,122
15069.0,0,70,1109.5300000000002,1,2,2,122
16480.0,0,53,769.29,1,2,2,122
12550.0,0,57,964.83,1,2,2,122
16054.0,0,70,783.9000000000001,1,2,2,122
16343.0,0,47,370.47999999999996,1,2,3,123
15721.0,0,91,507.08,1,2,3,123
15025.0,0,72,377.01,1,2,3,123
13667.0,0,87,305.0199999999999,1,2,3,123
16685.0,0,62,324.24,1,2,3,123
16718.0,0,45,623.7500000000001,1,2,3,123
15415.0,0,48,572.81,1,2,3,123
13357.0,0,90,609.95,1,2,3,123
12988.0,0,92,535.3200000000002,1,2,3,123
15466.0,0,57,334.53000000000003,1,2,3,123
14675.0,0,102,604.7500000000001,1,2,3,123
15472.0,0,76,371.5600000000001,1,2,3,123
13278.0,0,46,542.73,1,2,3,123
16504.0,0,86,484.38,1,2,3,123
16204.0,0,57,405.71,1,2,3,123
15000.0,0,77,490.52000000000004,1,2,3,123
16022.0,0,76,628.2800000000002,1,2,3,123
15553.0,0,56,437.23,1,2,3,123
13176.0,0,72,492.84000000000003,1,2,3,123
16274.0,0,67,357.94999999999993,1,2,3,123
14954.0,0,85,336.16999999999996,1,2,3,123
15645.0,0,52,612.01,1,2,3,123
13243.0,0,58,600.0700000000002,1,2,3,123
16372.0,0,97,367.92999999999995,1,2,3,123
14729.0,0,71,313.49000000000007,1,2,3,123
16595.0,0,85,360.15999999999997,1,2,3,123
15471.0,0,77,469.4799999999999,1,2,3,123
15507.0,0,46,492.36000000000007,1,2,3,123
12890.0,0,82,380.47,1,2,3,123
14965.0,0,83,599.0,1,2,3,123
14130.0,0,67,483.86,1,2,3,123
16776.0,0,76,388.2800000000001,1,2,3,123
13642.0,0,66,354.8,1,2,3,123
16065.0,0,74,372.09,1,2,3,123
16903.0,0,60,373.24,1,2,3,123
13708.0,0,51,296.88,1,2,3,123
15900.0,0,51,351.11000000000007,1,2,3,123
12391.0,0,100,460.89,1,2,3,123
15891.0,0,62,524.52,1,2,3,123
14171.0,0,58,363.79,1,2,3,123
15870.0,0,76,354.09000000000003,1,2,3,123
13790.0,0,45,348.79999999999995,1,2,3,123
16795.0,0,66,414.87999999999994,1,2,3,123
14087.0,0,70,181.67,1,2,4,124
13259.0,0,87,292.31999999999994,1,2,4,124
14801.0,0,59,193.13999999999996,1,2,4,124
16392.0,0,45,221.18999999999997,1,2,4,124
15325.0,0,49,162.29000000000002,1,2,4,124
14052.0,0,56,225.36,1,2,4,124
16594.0,0,53,181.09,1,2,4,124
12851.0,0,50,135.18,1,2,4,124
14076.0,0,46,122.47,1,2,4,124
13235.0,0,59,101.17000000000019,1,2,4,124
13474.0,0,64,229.59,1,2,4,124
13568.0,0,44,192.85,1,2,4,124
16936.0,0,57,262.68,1,2,4,124
15276.0,0,52,135.31,1,2,4,124
16932.0,0,53,161.93999999999997,1,2,4,124
16445.0,0,63,230.51000000000002,1,2,4,124
13121.0,0,53,254.72999999999996,1,2,4,124
14953.0,0,55,289.82000000000005,1,2,4,124
16921.0,0,60,169.79000000000002,1,2,4,124
15041.0,0,67,180.35000000000002,1,2,4,124
15019.0,0,70,265.99999999999994,1,2,4,124
16895.0,0,69,219.14000000000001,1,2,4,124
16893.0,0,45,145.93,1,2,4,124
13532.0,0,66,210.30999999999995,1,2,4,124
16406.0,0,63,163.07,1,2,4,124
15503.0,0,70,147.09,1,2,4,124
15920.0,0,60,167.5,1,2,4,124
16415.0,0,54,210.34999999999997,1,2,4,124
13271.0,0,101,178.25999999999996,1,2,4,124
14204.0,0,44,161.02999999999994,1,2,4,124
16727.0,0,46,272.81999999999994,1,2,4,124
15437.0,0,45,200.16,1,2,4,124
14485.0,0,47,165.75,1,2,4,124
13439.0,0,54,283.71,1,2,4,124
14549.0,0,56,289.24,1,2,4,124
15866.0,0,45,230.53,1,2,4,124
14552.0,0,58,165.07,1,2,4,124
14598.0,0,50,221.97,1,2,4,124
15457.0,0,58,237.07,1,2,4,124
14381.0,0,56,202.68,1,2,4,124
15460.0,0,58,216.76,1,2,4,124
14375.0,0,75,257.68,1,2,4,124
13428.0,0,74,218.46999999999997,1,2,4,124
16024.0,0,64,251.24,1,2,4,124
16751.0,0,25,1764.7199999999998,1,3,1,131
14439.0,0,32,2661.24,1,3,1,131
15372.0,0,27,2007.4,1,3,1,131
16152.0,0,29,1829.0399999999997,1,3,1,131
15947.0,0,29,1708.24,1,3,1,131
16380.0,0,32,1780.59,1,3,1,131
12424.0,0,30,1760.9599999999996,1,3,1,131
14459.0,0,37,1837.92,1,3,1,131
13075.0,0,22,919.6100000000001,1,3,2,132
13893.0,0,21,821.1000000000001,1,3,2,132
13355.0,0,32,674.7,1,3,2,132
13356.0,0,42,768.2400000000001,1,3,2,132
16260.0,0,18,1035.45,1,3,2,132
